desde,hacia,clase,precio
Desde Buenos Aires,a Santiago de Chile,Economy,ARS 289.491
Desde Buenos Aires,a Lima,Economy,ARS 661.327
Desde Buenos Aires,a Sta. Cruz de la Sierra,Economy,ARS 396.778
Desde Buenos Aires,a Bogotá,Economy,ARS 942.813
