desde,hacia,clase,precio
Desde Buenos Aires,a San Rafael,Economy,ARS 129.305
Desde Buenos Aires,a Jujuy,Economy,ARS 74.596
Desde Buenos Aires,a Esquel,Economy,ARS 152.869
Desde Buenos Aires,a Posadas,Economy,ARS 66.650
